CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
838355676,73,BROOKLYN,12/31/2021,11:10:00,12/31/2021,11:45:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",OTHER,12/31/2021,1007348,184784,40.67384423,-73.91673226,"(40.67384422500004, -73.916732256)"
670578283,50,BRONX,12/31/2021,14:50:00,12/31/2021,14:51:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,352,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",STREET,12/31/2021,1010401,259175,40.87801929,-73.90543658,"(40.87801929200003, -73.90543657899997)"
986538974,48,BRONX,12/31/2021,19:37:00,12/31/2021,19:42:00,COMPLETED,,N.Y. POLICE DEPT,106,FELONY,FRONT OF,FELONY ASSAULT,,109,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE-HOUSE,12/31/2021,1017192,246565,40.84338593,-73.88094158,"(40.84338592900008, -73.88094158099993)"
185251572,114,QUEENS,12/31/2021,11:39:00,12/31/2021,11:41:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,FRONT OF,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,12/31/2021,1005117,215228,40.75741124,-73.92468073,"(40.75741123900008, -73.92468072799994)"
907942132,28,MANHATTAN,12/31/2021,14:25:00,12/31/2021,14:30:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",CHAIN STORE,12/31/2021,998954,233791,40.80837414,-73.94688582,"(40.80837413600005, -73.94688582299993)"
166414928,108,QUEENS,12/31/2021,20:40:00,12/31/2021,20:49:00,COMPLETED,,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",TRANSIT - NYC SUBWAY,12/31/2021,1001596,212133,40.74892386,-73.93739797,"(40.74892385700008, -73.93739797299997)"
199247999,75,BROOKLYN,12/31/2021,15:30:00,12/31/2021,15:40:00,COMPLETED,,N.Y. HOUSING POLICE,106,FELONY,FRONT OF,FELONY ASSAULT,,109,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING,12/31/2021,1016133,178623,40.65690638,-73.88509116,"(40.65690638000007, -73.88509115599999)"
939115406,121,STATEN ISLAND,12/31/2021,3:50:00,12/31/2021,3:55:00,COMPLETED,,N.Y. POLICE DEPT,359,MISDEMEANOR,INSIDE,OFFENSES AGAINST PUBLIC ADMINI,,759,"PUBLIC ADMINISTATION,UNCLASS M",OTHER,12/31/2021,942825,166367,40.62322682,-74.14922697,"(40.623226819000074, -74.14922697299994)"
774551143,42,BRONX,12/31/2021,9:35:00,12/31/2021,9:40:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,637,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,12/31/2021,1010713,240858,40.82774366,-73.90438065,"(40.82774366300004, -73.90438065399997)"
536848384,109,QUEENS,12/31/2021,17:35:00,12/31/2021,17:51:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,12/31/2021,1033537,217972,40.76483006,-73.82207707,"(40.76483005500006, -73.82207707199996)"
